0;0.00303738
1;0.579772
2;0.608888
3;0.493989
4;0.533741
5;0.523391
6;0.509
7;0.489345
8;0.478163
9;0.47971
10;0.488907
11;0.499978
12;0.508737
13;0.515073
14;0.51885
15;0.521396
16;0.522675
17;0.523688
18;0.524074
19;0.524582
20;0.524696
21;0.525062
22;0.525116
23;0.525465
24;0.525534
25;0.525914
26;0.52603
27;0.526467
28;0.526653
29;0.527167
30;0.527441
31;0.528047
32;0.528425
33;0.529137
34;0.529626
35;0.530446
36;0.531041
37;0.531953
38;0.532626
39;0.533589
40;0.534284
41;0.535229
42;0.535869
43;0.536715
44;0.537225
45;0.537912
46;0.538252
47;0.538763
48;0.538939
49;0.539299
50;0.539349
51;0.539604
52;0.539575
53;0.53977
54;0.539704
55;0.539874
56;0.539802
57;0.539972
58;0.539914
59;0.540103
60;0.540073
61;0.54029
62;0.540292
