Test Corpus;Total Errors;Total Words;Error Rate;ADJ;ADP;ADV;AUX;CCONJ;DET;INTJ;NOUN;NUM;PART;PRON;PROPN;PUNCT;SCONJ;SYM;VERB;X
fr_fqb-ud-test;5998;24135;24.85%;613;1188;96;476;002.13;95;34;332;108;8;513;048.27;000.00;057.88;366;212;276
fr_gsd-ud-test;2351;10019;23.47%;337;463;70;119;003.16;137;8;230;37;13;1;060.12;000.00;042.45;54;104;101
fr_partut-ud-test;463;2603;17.79%;79;97;30;17;007.69;19;1;54;5;0;0;081.51;000.00;035.85;1;35;4
fr_pud-ud-test;5643;24735;22.81%;874;977;178;333;001.93;322;4;405;107;15;4;061.27;000.00;057.66;4;274;244
fr_sequoia-ud-test;2004;10048;19.94%;258;434;56;107;006.52;91;5;144;36;16;2;056.26;000.00;040.35;91;78;67
fr_spoken-ud-test;2094;10029;20.88%;252;155;361;258;003.69;224;23;156;15;13;4;059.82;;027.93;;154;109
fr-test;18553;81569;22.75%;2413;3314;791;1310;003.45;888;75;1321;308;65;524;055.98;000.00;047.07;516;857;801
